"StateName","partisanVotingIndexRepublican","state"
"Wyoming","26","WY"
"West Virginia","23","WV"
"Oklahoma","20","OK"
"North Dakota","20","ND"
"Idaho","19","ID"
"South Dakota","16","SD"
"Kentucky","16","KY"
"Arkansas","16","AR"
"Texas","15","TX"
"Alabama","15","AL"
"Tennessee","14","TN"
"Utah","13","UT"
"Nebraska","13","NE"
"Louisiana","12","LA"
"Montana","11","MT"
"Kansas","11","KS"
"Indiana","11","IN"
"Missouri","10","MO"
"Mississippi","9","MS"
"Alaska","9","AK"
"South Carolina","8","SC"
"Ohio","6","OH"
"Iowa","6","IA"
"North Carolina","3","NC"
"Georgia","3","GA"
"Florida","3","FL"
"Arizona","3","AZ"
"Wisconsin","2","WI"
"Pennsylvania","2","PA"
"Michigan","1","MI"
"New Hampshire","","NH"
"Nevada","","NV"
"Minnesota","-1","MN"
"Maine","-1","ME"
"Virginia","-2","VA"
"New Mexico","-3","NM"
"Colorado","-3","CO"
"Oregon","-6","OR"
"New Jersey","-6","NJ"
"Delaware","-6","DE"
"Illinois","-7","IL"
"Connecticut","-7","CT"
"Washington","-8","WA"
"Rhode Island","-8","RI"
"New York","-10","NY"
"Massachusetts","-14","MA"
"Maryland","-14","MD"
"California","-14","CA"
"Vermont","-15","VT"
"Hawaii","-15","HI"
# source: https://worldpopulationreview.com/state-rankings/most-republican-states Partisan Voting Index 2021